regime,sigma_s,snr_db,xi,z,K,A0,Pe_reference,Pe_interp_free,abs_err_interp_free,rel_err_interp_free,eta_f64,ref_in_range,f64_in_range
weak,0.05,30,2.582010097770076,7.509554,20,0.075036297456304302,1.06997038808612610e-01,1.06997038812551182e-01,3.938572e-12,3.681010e-11,4.424067e-12,1,1
weak,0.05,34,3.1509715460648624,7.058446,20,0.050370520509083208,9.28749019547902288e-02,9.28749019531096565e-02,1.680572e-12,1.809501e-11,1.927028e-12,1,1
weak,0.05,38,4.1366672680583187,7.676890,20,0.029221347426083542,9.75764475164756367e-02,9.75764475162090028e-02,2.666339e-13,2.732565e-12,4.366198e-13,1,1
weak,0.05,40,3.2447055879429869,3.751298,20,0.047501136046231587,3.64714035179750234e-02,3.64714035179850571e-02,1.003364e-14,2.751098e-13,7.699368e-15,1,1
weak,0.05,44,1.1758294631277217,0.305568,5,0.36794042916460978,4.85134869850508289e-03,4.85134869850508115e-03,1.734723e-18,3.575755e-16,3.013830e-20,1,1
weak,0.1,34,1.0090689383242029,2.892031,20,0.12293701665543109,1.09141704647582674e-01,1.09141704647582050e-01,6.245005e-16,5.721923e-15,2.397398e-16,1,1
weak,0.1,38,0.80960993344860288,1.171969,10,0.19141205930294378,9.47616758585285851e-02,9.47616758585286545e-02,6.938894e-17,7.322469e-16,2.400878e-18,1,1
weak,0.1,40,0.97553352375309976,1.354408,10,0.13156367200765692,6.13913151233656113e-02,6.13913151233656737e-02,6.245005e-17,1.017246e-15,6.983946e-18,1,1
weak,0.2,38,0.64007537893834676,2.939495,20,0.076315511493639118,2.35554283472530213e-01,2.35554283472530018e-01,1.942890e-16,8.248164e-16,9.077074e-17,1,1
moderate,0.05,30,1.0373088612968573,0.292654,5,0.48136186683278082,7.91391677276918754e-02,7.91391677276918892e-02,1.387779e-17,1.753593e-16,2.441904e-17,1,1
moderate,0.05,34,4.1200995969409897,3.017443,20,0.029456863660941916,2.08806271292066831e-01,2.08806271292060197e-01,6.633583e-15,3.176908e-14,1.931526e-15,1,1
moderate,0.05,38,3.8737982910798721,1.683017,10,0.033322457234551545,1.39596231154706180e-01,1.39596231154705153e-01,1.026956e-15,7.356619e-15,4.075856e-16,1,1
moderate,0.05,44,3.9066055280965295,0.857857,10,0.032765026348618477,7.78176469938214460e-02,7.78176469938214460e-02,0.000000e+00,0.000000e+00,8.881366e-17,1,1
moderate,0.1,34,3.0462834606355598,6.598566,20,0.013470259342191522,3.16665304237647660e-01,3.16665304237822909e-01,1.752487e-13,5.534193e-13,4.214810e-14,1,1
moderate,0.1,38,1.6241379165290106,1.183252,10,0.047396732998192172,1.37810059122080303e-01,1.37810059122076112e-01,4.191092e-15,3.041209e-14,2.694429e-15,1,1
moderate,0.1,44,3.8211255897475449,3.283186,20,0.0085611090597237302,2.21025726081401086e-01,2.21025726081393314e-01,7.771561e-15,3.516134e-14,2.603797e-15,1,1
moderate,0.2,44,1.7761456321113021,2.837456,20,0.0099059565190427884,2.34209562712588054e-01,2.34209562712635488e-01,4.743428e-14,2.025292e-13,7.525707e-14,1,1
strong,0.05,30,4.5541657958060249,2.448586,20,0.024108689374573757,3.16668130097577716e-01,3.16668130097568223e-01,9.492407e-15,2.997588e-14,2.340844e-15,1,1
strong,0.05,34,2.3714681438153065,0.418643,5,0.088970380498306967,1.46310101175530782e-01,1.46310101175530283e-01,4.996004e-16,3.414668e-15,2.880124e-16,1,1
strong,0.05,38,3.8499755842938295,0.696615,10,0.033736196524711368,1.83451641233263629e-01,1.83451641233264073e-01,4.440892e-16,2.420743e-15,4.381660e-16,1,1
strong,0.05,40,1.5694770268657205,0.091574,5,0.20385178796176245,6.24924831897964439e-02,6.24924831897963537e-02,9.020562e-17,1.443464e-15,7.865777e-17,1,1
strong,0.05,44,4.1779760192664899,0.411169,5,0.028646283782064262,1.33992151450234187e-01,1.33992151450234465e-01,2.775558e-16,2.071433e-15,2.424092e-16,1,1
strong,0.1,30,2.0526925063438282,1.989731,10,0.029668433494969344,3.14092506844249608e-01,3.14092506843962838e-01,2.867706e-13,9.130132e-13,3.396274e-14,1,1
strong,0.1,34,4.8492245360348942,7.006845,20,0.005315773158027874,4.11745640930350543e-01,4.11745640929952528e-01,3.980150e-13,9.666525e-13,3.188163e-14,1,1
strong,0.1,38,0.98222928063573101,0.181099,5,0.12976991108053984,1.55253703778319013e-01,1.55253703778319041e-01,2.775558e-17,1.787756e-16,6.575535e-16,1,1
strong,0.1,40,2.2151624265811414,0.732768,10,0.025475495811298071,2.02802279200188701e-01,2.02802279200187202e-01,1.498801e-15,7.390455e-15,5.537490e-16,1,1
strong,0.1,44,3.0272829307345033,0.863532,10,0.013639885533190467,2.09850874572565960e-01,2.09850874572564572e-01,1.387779e-15,6.613167e-15,5.861961e-16,1,1
strong,0.2,34,0.85058103411375507,0.862185,10,0.043200451277745244,3.21288379472839447e-01,3.21288379472840058e-01,6.106227e-16,1.900544e-15,9.855334e-16,1,1
strong,0.2,38,1.0508718997081778,0.830441,10,0.028299574020950135,2.84243181435944625e-01,2.84243181436295345e-01,3.507195e-13,1.233871e-12,1.254683e-13,1,1
strong,0.2,40,3.5322274231744082,7.453084,20,0.0025046839362235095,4.18555008021657737e-01,4.18555008020655095e-01,1.002642e-12,2.395485e-12,4.513595e-14,1,1
strong,0.2,44,2.3576180786702423,2.095003,20,0.0056221735917409039,3.13758382472684727e-01,3.13758382472661135e-01,2.359224e-14,7.519238e-14,2.436983e-15,1,1
strong,0.3,40,0.59940245003727421,0.482840,5,0.038662149993301753,3.39916261035833334e-01,3.39916261035833167e-01,1.665335e-16,4.899249e-16,1.314698e-16,1,1
weak,0.05,30,2.5643047463366089,7.406810,20,0.07607716378400288,1.05538623763386977e-01,1.05538623764005024e-01,6.180473e-13,5.856124e-12,3.597631e-12,1,1
weak,0.05,34,1.8064032596255009,2.315008,20,0.15357940804514283,2.58347410067279147e-02,2.58347410067267802e-02,1.134509e-15,4.391409e-14,7.888285e-16,1,1
weak,0.05,38,3.9098611632155231,6.858019,20,0.032710473872878489,8.52517694154783234e-02,8.52517694162489015e-02,7.705780e-13,9.038851e-12,2.161018e-13,1,1
weak,0.05,40,4.0681392571150443,5.897576,20,0.030214262707779087,6.89221311991925212e-02,6.89221311994231839e-02,2.306627e-13,3.346715e-12,8.001930e-14,1,1
weak,0.05,44,1.2516665642437588,0.347907,5,0.32316361380381459,3.88032281894503187e-03,3.88032281894503403e-03,2.168404e-18,5.588206e-16,5.810669e-20,1,1
weak,0.1,40,1.2335824685901222,2.167950,20,0.082193281461596837,5.18433609243892854e-02,5.18433609243893340e-02,4.857226e-17,9.369041e-16,9.768257e-17,1,1
weak,0.2,38,0.60123000623707146,2.593131,20,0.086508955649252622,2.43796947915251944e-01,2.43796947915252082e-01,1.387779e-16,5.692355e-16,4.234337e-17,1,1
moderate,0.05,30,2.759423276925641,2.144506,20,0.065689843814578638,1.75208580270696163e-01,1.75208580270695635e-01,5.273559e-16,3.009875e-15,9.268547e-16,1,1
moderate,0.05,38,1.1886534591495121,0.155914,5,0.3596989691260209,3.40156420933182130e-02,3.40156420933180881e-02,1.249001e-16,3.671843e-15,6.069386e-17,1,1
moderate,0.05,40,1.8372515998860324,0.300104,5,0.1484411913517408,3.49479736078885245e-02,3.49479736078884828e-02,4.163336e-17,1.191295e-15,2.233290e-17,1,1
moderate,0.05,44,4.5328388422987107,1.154980,10,0.02433610814208222,1.00546573212231594e-01,1.00546573212231483e-01,1.110223e-16,1.104188e-15,1.593113e-16,1,1
moderate,0.1,30,2.5381817850460098,7.260178,20,0.019403419791901216,3.33595297566229021e-01,3.33595297579449834e-01,1.322081e-11,3.963129e-11,1.251203e-12,1,1
moderate,0.1,34,3.1952932018696911,7.259915,20,0.012243173455721278,3.27113247360665216e-01,3.27113247360877324e-01,2.121081e-13,6.484241e-13,5.966406e-14,1,1
moderate,0.1,38,2.9597131541512995,3.930134,20,0.014269808532917368,2.50708761697437443e-01,2.50708761697438276e-01,8.326673e-16,3.321253e-15,5.826400e-15,1,1
moderate,0.1,40,1.7549502059802322,1.097448,10,0.040592121058172954,1.24005585190559056e-01,1.24005585190545276e-01,1.378064e-14,1.111292e-13,1.049284e-14,1,1
moderate,0.1,44,4.6284718150200552,4.817143,20,0.0058349345551524491,2.68708072243463270e-01,2.68708072243445617e-01,1.765255e-14,6.569414e-14,8.524852e-15,1,1
moderate,0.2,44,0.62777683146521457,0.354276,5,0.079338404336036519,2.14301527961333754e-01,2.14301527961333838e-01,8.326673e-17,3.885494e-16,4.567167e-18,1,1
moderate,0.3,34,1.0311297247120355,6.804222,20,0.013063124503361868,3.88132555665186285e-01,3.88132555665150925e-01,3.536060e-14,9.110445e-14,1.042292e-14,1,1
strong,0.05,30,0.94029166089070404,0.097216,5,0.60722404721114565,1.18578719264730695e-01,1.18578719264730514e-01,1.804112e-16,1.521447e-15,1.904328e-16,1,1
strong,0.05,34,3.6546113469817696,0.994831,10,0.037440325313910582,2.21211268726239280e-01,2.21211268726239946e-01,6.661338e-16,3.011301e-15,6.633499e-16,1,1
strong,0.05,38,3.4940549188757286,0.573741,10,0.040961233268399004,1.65999662489721506e-01,1.65999662489720534e-01,9.714451e-16,5.852091e-15,3.601245e-16,1,1
strong,0.05,40,2.2141635024235682,0.182862,5,0.10208563644781689,8.67008174145694060e-02,8.67008174145691840e-02,2.220446e-16,2.561044e-15,1.200999e-16,1,1
strong,0.05,44,2.7892757224580942,0.183208,5,0.064290203275358365,8.18837388400290578e-02,8.18837388400291410e-02,8.326673e-17,1.016890e-15,1.087174e-16,1,1
strong,0.1,30,4.0121703862691929,7.602133,20,0.0077652143326712624,4.18726997342773244e-01,4.18726997342135809e-01,6.374345e-13,1.522315e-12,4.462587e-14,1,1
